code,name,best_ma,h_floor
601199,江南水务,105,5.65
601211,国泰海通,180,19.59
601212,白银有色,120,5.13
601208,东材科技,245,19.69
601218,吉鑫科技,185,5.96
601216,君正集团,235,4.82
601222,林洋能源,60,5.6
601225,陕西煤业,250,22.6
601228,广州港,35,3.23
601226,华电科工,235,7.71
601231,环旭电子,175,22.01
601233,桐昆股份,225,14.67
601229,上海银行,60,9.86
601236,红塔证券,215,8.22
601238,广汽集团,45,7.75
601279,英利汽车,240,4.35
601288,农业银行,110,6.66
601298,青岛港,70,8.5
601299,中国北车,65,4.9
601311,骆驼股份,250,9.41
601319,中国人保,220,8.51
601326,秦港股份,205,3.53
601328,交通银行,190,7.21
601330,绿色动力,210,7.16
601333,广深铁路,120,3.07
601336,新华保险,215,67.03
601339,百隆东方,250,7.09
601360,三六零,235,10.47
601369,陕鼓动力,250,10.04
601368,绿城水务,185,5.23
601366,利群股份,35,4.5
601375,中原证券,215,4.37
601377,兴业证券,155,6.82
601388,怡球资源,225,2.92
601390,中国中铁,70,5.34
601398,工商银行,140,7.23
601399,国机重装,240,3.63
601456,国联民生,75,9.76
601500,通用股份,50,4.21
601512,中新集团,170,8.64
601515,衢州东峰,245,4.21
601519,大智慧,175,12.81
601518,吉林高速,240,2.83
601528,瑞丰银行,210,5.5
601555,东吴证券,250,9.42
601566,九牧王,160,10.53
601567,三星电气,65,22.92
601568,北元集团,30,4.08
601579,会稽山,195,20.92
601577,长沙银行,240,9.53
601588,北辰实业,90,1.77
601595,上海电影,120,28.86
601599,浙文影业,40,3.86
601601,中国太保,245,37.02
601600,中国铝业,245,10.39
601598,中国外运,105,6.17
601606,长城军工,195,48.76
601607,上海医药,155,17.79
601608,中信重工,225,6.56
601609,金田股份,250,10.21
601611,中国核建,250,14.1
601615,明阳智能,235,13.06
601616,广电电气,250,3.93
601619,嘉泽新能,230,4.16
601618,中国中冶,90,2.98
601628,中国人寿,240,43.36
601633,长城汽车,75,20.62
601636,旗滨集团,75,6.08
601665,齐鲁银行,145,5.8
601668,中国建筑,165,5.02
601658,邮储银行,200,5.07
601669,中国电建,115,5.67
601677,明泰铝业,245,13.92
601678,滨化股份,230,4.3
601689,拓普集团,150,71.88
601686,友发集团,170,6.28
601688,华泰证券,220,21.97
601698,中国卫通,250,20.18
601696,中银证券,215,14.19
601700,风范股份,35,5.27
601699,潞安环能,230,13.0
